rule,n,hits,hit_rate,base_rate,lift
effort_low + downreject_low + volcluster_high + ret20_low,477,0,0.0,0.0037542139135764633,0.0
effort_low + downreject_low + hvclose_low + ret20_low,475,0,0.0,0.0037542139135764633,0.0
effort_low + ret20_high + range_expand,469,0,0.0,0.0037542139135764633,0.0
absorb_high + downreject_low + dist_high_near + range_expand,462,0,0.0,0.0037542139135764633,0.0
undercut_low + volcluster_high + ret20_high + dist_high_near,462,0,0.0,0.0037542139135764633,0.0
downreject_low + undercut_low + range_expand + vol_expand,460,0,0.0,0.0037542139135764633,0.0
undercut_low + dist_high_near + vol_expand,457,0,0.0,0.0037542139135764633,0.0
effort_low + downreject_low + dist_high_near + range_expand,456,0,0.0,0.0037542139135764633,0.0
volcluster_high + hvclose_low + range_expand + vol_expand,456,0,0.0,0.0037542139135764633,0.0
absorb_high + undercut_low + volcluster_high + range_expand,449,0,0.0,0.0037542139135764633,0.0
absorb_high + dist_high_near + range_expand + vol_expand,448,0,0.0,0.0037542139135764633,0.0
effort_low + undercut_low + volcluster_high + range_expand,444,0,0.0,0.0037542139135764633,0.0
absorb_high + ret20_low + vol_expand,441,0,0.0,0.0037542139135764633,0.0
downreject_low + dist_high_near + range_expand + vol_expand,439,0,0.0,0.0037542139135764633,0.0
absorb_high + effort_low + range_expand + vol_expand,433,0,0.0,0.0037542139135764633,0.0
downreject_low + ret20_high + dist_high_near + range_expand,431,0,0.0,0.0037542139135764633,0.0
effort_low + ret20_low + range_expand,420,0,0.0,0.0037542139135764633,0.0
effort_low + downreject_low + ret20_high + range_expand,417,0,0.0,0.0037542139135764633,0.0
absorb_high + effort_low + ret20_high + dist_high_near,412,0,0.0,0.0037542139135764633,0.0
undercut_low + ret20_high + range_expand,411,0,0.0,0.0037542139135764633,0.0
downreject_low + volcluster_high + hvclose_low + ret20_low,411,0,0.0,0.0037542139135764633,0.0
downreject_low + ret20_low + range_expand + vol_expand,409,0,0.0,0.0037542139135764633,0.0
absorb_high + undercut_low + range_expand + vol_expand,404,0,0.0,0.0037542139135764633,0.0
volcluster_high + ret20_high + dist_high_near + range_expand,404,0,0.0,0.0037542139135764633,0.0
absorb_high + volcluster_high + ret20_low + vol_expand,402,0,0.0,0.0037542139135764633,0.0
absorb_high + ret20_low + range_expand,401,0,0.0,0.0037542139135764633,0.0
undercut_low + dist_high_near + range_expand,396,0,0.0,0.0037542139135764633,0.0
downreject_low + hvclose_low + range_expand + vol_expand,392,0,0.0,0.0037542139135764633,0.0
undercut_low + volcluster_high + dist_high_near + vol_expand,391,0,0.0,0.0037542139135764633,0.0
absorb_high + hvclose_low + vol_expand,387,0,0.0,0.0037542139135764633,0.0
absorb_high + downreject_low + undercut_low + range_expand,380,0,0.0,0.0037542139135764633,0.0
absorb_high + downreject_low + volcluster_high + hvclose_low,376,0,0.0,0.0037542139135764633,0.0
absorb_high + ret20_high + dist_high_near + range_expand,376,0,0.0,0.0037542139135764633,0.0
absorb_high + downreject_low + volcluster_high + ret20_low,374,0,0.0,0.0037542139135764633,0.0
effort_low + dist_high_near + vol_expand,372,0,0.0,0.0037542139135764633,0.0
ret20_high + dist_high_near + range_expand + vol_expand,371,0,0.0,0.0037542139135764633,0.0
effort_low + volcluster_high + hvclose_low + range_expand,370,0,0.0,0.0037542139135764633,0.0
absorb_high + volcluster_high + ret20_low + range_expand,363,0,0.0,0.0037542139135764633,0.0
absorb_high + undercut_low + dist_high_near + vol_expand,362,0,0.0,0.0037542139135764633,0.0
effort_low + undercut_low + range_expand + vol_expand,362,0,0.0,0.0037542139135764633,0.0
undercut_low + ret20_high + dist_high_near + vol_expand,350,0,0.0,0.0037542139135764633,0.0
effort_low + ret20_low + vol_expand,348,0,0.0,0.0037542139135764633,0.0
effort_low + downreject_low + ret20_low + range_expand,345,0,0.0,0.0037542139135764633,0.0
absorb_high + volcluster_high + hvclose_low + vol_expand,344,0,0.0,0.0037542139135764633,0.0
effort_low + downreject_low + dist_high_near + vol_expand,339,0,0.0,0.0037542139135764633,0.0
