symbol,market_cap_hkd,market_cap_hkd_bn,name
9969.HK,25995544576,26.0,INNOCARE
2367.HK,25756940288,25.76,GIANT BIOGENE
0696.HK,25604333568,25.6,TRAVELSKY TECH
3858.HK,25510801408,25.51,JIAXIN INTL RES
0780.HK,25473632256,25.47,TONGCHENGTRAVEL
0683.HK,25343412224,25.34,KERRY PPT
1440.HK,25056823296,25.06,STAR SHINE HLDG
2238.HK,24982810624,24.98,GAC GROUP
3323.HK,24601389056,24.6,CNBM
1081.HK,24585652224,24.59,DAJIN
2687.HK,24346679296,24.35,ABLE DIGITAL
6651.HK,23741966336,23.74,51WORLD
1199.HK,23718676480,23.72,COSCO SHIP PORT
0053.HK,23642339328,23.64,GUOCO GROUP
2510.HK,23377035264,23.38,TS LINES
3800.HK,23257901056,23.26,GCL TECH
2026.HK,23154243584,23.15,PONY-W
9688.HK,23104389120,23.1,ZAI LAB
3896.HK,23081402368,23.08,KINGSOFT CLOUD
2386.HK,23064729600,23.06,SINOPEC SEG
0136.HK,23006875648,23.01,CHINA RUYI
2579.HK,22915590144,22.92,CNGR
1044.HK,22660179968,22.66,HENGAN INT'L
2419.HK,22524112896,22.52,DEKON AGR
2357.HK,22483447808,22.48,AVICHINA
1318.HK,22469130240,22.47,MAO GEPING
6186.HK,22195314688,22.2,CHINA FEIHE
1385.HK,22190997504,22.19,SHANGHAI FUDAN
6810.HK,21943160832,21.94,SUNMI TECH-W
6680.HK,21683109888,21.68,JLMAG
2602.HK,21646974976,21.65,ONEWO
2648.HK,21597122560,21.6,ANJOY FOOD
9889.HK,21595588608,21.6,DRCB
0317.HK,21541836800,21.54,COMEC
0874.HK,21427924992,21.43,BAIYUNSHAN PH
2343.HK,21411997696,21.41,PACIFIC BASIN
0666.HK,21359028224,21.36,REPT BATTERO
2162.HK,21225897984,21.23,KEYMED BIO-B
1860.HK,21166249984,21.17,MOBVISTA
0564.HK,21032011776,21.03,ZCZL
6887.HK,20912809984,20.91,SUNSHINE PHARMA
0622.HK,20899885056,20.9,OSHIDORI
2525.HK,20679915520,20.68,HESAI-W
2356.HK,20650500096,20.65,DAHSING BANKING
0189.HK,20601942016,20.6,DONGYUE GROUP
7666.HK,20578942976,20.58,METIS TECHBIO-P
1551.HK,20461899776,20.46,GRCB
0142.HK,20372934656,20.37,FIRST PACIFIC
9896.HK,20049229824,20.05,MNSO
1415.HK,19915374592,19.92,COWELL
0772.HK,19730335744,19.73,CHINA LIT
2276.HK,19622004736,19.62,CONANT OPTICAL
0551.HK,19430973440,19.43,YUE YUEN IND
2518.HK,19219722240,19.22,AUTOHOME-S
9858.HK,19110174720,19.11,YOURAN DAIRY
1606.HK,19089993728,19.09,CDB LEASING
6127.HK,19033444352,19.03,JOINN
2232.HK,18800097280,18.8,CRYSTAL INTL
0013.HK,18719787008,18.72,HUTCHMED
0968.HK,18681165824,18.68,XINYI SOLAR
0699.HK,18454169600,18.45,JOYSON ELEC
6993.HK,18411614208,18.41,BLUE MOON GROUP
2590.HK,18403119104,18.4,GEEKPLUS-W
2400.HK,18260940800,18.26,XD INC
1357.HK,18235893760,18.24,MEITU
2768.HK,18162558976,18.16,GON TECHNOLOGY
1651.HK,18121064448,18.12,TSUGAMI CHINA
1513.HK,18113306624,18.11,LIVZON PHARMA
2698.HK,18053300224,18.05,SOFTCARE
9606.HK,17868834816,17.87,DUALITYBIO-B
9899.HK,17820547072,17.82,NETEASE MUSIC
1877.HK,17757878272,17.76,JUNSHI BIO
1396.HK,17626634240,17.63,GBA AI COMP-500
0179.HK,17403858944,17.4,JOHNSON ELEC H
1164.HK,17253550080,17.25,CGN MINING
3774.HK,17164562432,17.16,FAMEGLOW
3231.HK,17154378752,17.15,EXCELLAND ROBOT
2460.HK,17150107648,17.15,CR BEVERAGE
0512.HK,17106340864,17.11,GRAND PHARMA
2706.HK,17082409984,17.08,HAIZHI TECH GP
6060.HK,16999762944,17.0,ZA ONLINE
6098.HK,16999088128,17.0,CG SERVICES
9985.HK,16988062720,16.99,WL DELICIOUS
3355.HK,16724276224,16.72,FS.COM
1910.HK,16706494464,16.71,SAMSONITE
0817.HK,16620334080,16.62,CHINA JINMAO
0010.HK,16598126592,16.6,HANG LUNG GROUP
0325.HK,16517744640,16.52,BLOKS
2658.HK,16349413376,16.35,TIANYU SEMI
0548.HK,16293036032,16.29,SHENZHENEXPRESS
8279.HK,16289500160,16.29,AGTECH HOLDINGS
1277.HK,16253070336,16.25,KINETIC DEV
0014.HK,16206188544,16.21,HYSAN DEV
6055.HK,16199145472,16.2,CTIHK
0290.HK,16177048576,16.18,GOFINTECH QUANT
3899.HK,16043347968,16.04,CIMC ENRIC
2880.HK,16028802048,16.03,LIAONING PORT
2610.HK,15945185280,15.95,NANSHAN AL INTL
0371.HK,15894555648,15.89,BJ ENT WATER
6682.HK,15831004160,15.83,PHANCY
2507.HK,15825357824,15.83,CIRRUS
0525.HK,15690033152,15.69,GUANGSHEN RAIL
3933.HK,15604589568,15.6,UNITED LAB
1304.HK,15540401152,15.54,FORTIOR
6658.HK,15533689856,15.53,LIULIUMEI
2889.HK,15428596736,15.43,PATEO
0340.HK,15218438144,15.22,TONGGUAN GOLD
