symbol,market,reversal_date,entry_date,delay,rule,entry,reversal_score,ret_3d,maxup_3d,maxdd_3d,ret_5d,maxup_5d,maxdd_5d,ret_10d,maxup_10d,maxdd_10d
CSU.TO,CA,2025-03-31,2025-04-02,2,REV_HIGH+EMA20,4730.00244140625,6,-0.08333325591034213,-0.008461903117652714,-0.11329106434779479,-0.015875635965353685,-0.00843892792478973,-0.11329106434779479,-0.004544316662098757,-0.0018185947602019636,-0.11329106434779479
CSU.TO,CA,2025-10-30,2025-10-31,1,REV_HIGH,3685.513427734375,6,-0.0325379211509802,0.0002193828834542444,-0.07287032211313715,-0.08271829175980205,0.0002193828834542444,-0.10595268759105114,-0.0943003391061511,0.0002193828834542444,-0.13755049355883908
CSU.TO,CA,2026-01-06,2026-01-08,2,REV_HIGH,3308.3359375,6,-0.03062841968795682,0.013297283587100805,-0.03770880420119205,-0.11773991538892048,0.013297283587100805,-0.12494716366635161,-0.18084157088982145,0.013297283587100805,-0.20759611531672162
CSU.TO,CA,2026-01-06,2026-01-08,2,REV_HIGH+EMA20,3308.3359375,6,-0.03062841968795682,0.013297283587100805,-0.03770880420119205,-0.11773991538892048,0.013297283587100805,-0.12494716366635161,-0.18084157088982145,0.013297283587100805,-0.20759611531672162
CSU.TO,CA,2026-03-30,2026-03-31,1,REV_HIGH,2440.7353515625,5,0.00021295852100156054,0.01248566247984284,-0.030892868763287895,-0.011163067610979516,0.03745710550110326,-0.030892868763287895,0.07762933254058213,0.10660160510121242,-0.07173656633545145
CSU.TO,CA,2026-04-13,2026-04-14,1,REV_HIGH,2514.45751953125,6,0.04400275826766653,0.07606081138263243,0.009861865766369382,0.033926265081484885,0.07606081138263243,0.009861865766369382,-0.03210175762858891,0.07606081138263243,-0.06156418018318022
CSU.TO,CA,2026-04-13,2026-04-15,2,PREV5_HIGH,2630.2080078125,6,0.0121106450631987,0.028705406803263056,-0.006938867108678193,0.007577228660547997,0.028705406803263056,-0.02250375972141394,-0.07113648776441683,0.028705406803263056,-0.10555716467298482
CSU.TO,CA,2026-04-13,2026-04-14,1,REV_HIGH+EMA20,2514.45751953125,6,0.04400275826766653,0.07606081138263243,0.009861865766369382,0.033926265081484885,0.07606081138263243,0.009861865766369382,-0.03210175762858891,0.07606081138263243,-0.06156418018318022
CSU.TO,CA,2026-04-13,2026-04-15,2,BOTH_HIGHS,2630.2080078125,6,0.0121106450631987,0.028705406803263056,-0.006938867108678193,0.007577228660547997,0.028705406803263056,-0.02250375972141394,-0.07113648776441683,0.028705406803263056,-0.10555716467298482
CSU.TO,CA,2026-04-13,2026-04-15,2,BOTH_HIGHS+EMA20,2630.2080078125,6,0.0121106450631987,0.028705406803263056,-0.006938867108678193,0.007577228660547997,0.028705406803263056,-0.02250375972141394,-0.07113648776441683,0.028705406803263056,-0.10555716467298482
CSU.TO,CA,2026-06-23,2026-06-24,1,REV_HIGH,2868.909912109375,5,-0.03592647638871571,0.04198465584579436,-0.04522972618203214,-0.03140211666101467,0.04198465584579436,-0.06933641277315106,-0.04651241952318319,0.04198465584579436,-0.06933641277315106
CSU.TO,CA,2026-06-23,2026-06-24,1,REV_HIGH+EMA20,2868.909912109375,5,-0.03592647638871571,0.04198465584579436,-0.04522972618203214,-0.03140211666101467,0.04198465584579436,-0.06933641277315106,-0.04651241952318319,0.04198465584579436,-0.06933641277315106
CVX,US,2020-05-14,2020-05-18,2,REV_HIGH,70.7236328125,6,-0.005510530440065775,0.00994065210081585,-0.032631125016401974,0.008103765654989603,0.019340862264994874,-0.03327926488225219,0.023122393711768607,0.028849013267767454,-0.03554832491740101
CVX,US,2020-05-14,2020-05-18,2,REV_HIGH+EMA20,70.7236328125,6,-0.005510530440065775,0.00994065210081585,-0.032631125016401974,0.008103765654989603,0.019340862264994874,-0.03327926488225219,0.023122393711768607,0.028849013267767454,-0.03554832491740101
CVX,US,2020-06-15,2020-06-16,1,REV_HIGH,71.85457611083984,6,-0.03615847871173483,0.00404153494649262,-0.04179488689113364,-0.027544129546832163,0.00404153494649262,-0.04721872122016124,-0.05104711416489249,0.00404153494649262,-0.08348350573156016
CVX,US,2020-06-15,2020-06-16,1,REV_HIGH+EMA20,71.85457611083984,6,-0.03615847871173483,0.00404153494649262,-0.04179488689113364,-0.027544129546832163,0.00404153494649262,-0.04721872122016124,-0.05104711416489249,0.00404153494649262,-0.08348350573156016
CVX,US,2020-07-10,2020-07-14,2,REV_HIGH,67.51414489746094,5,-0.013129753670777955,0.020826193314638752,-0.016298952622025742,0.03440847966836369,0.03825685464625539,-0.04018130437571321,0.008602119917090922,0.049688702588380096,-0.04018130437571321
CVX,US,2020-07-10,2020-07-14,2,REV_HIGH+EMA20,67.51414489746094,5,-0.013129753670777955,0.020826193314638752,-0.016298952622025742,0.03440847966836369,0.03825685464625539,-0.04018130437571321,0.008602119917090922,0.049688702588380096,-0.04018130437571321
CVX,US,2020-10-02,2020-10-05,1,REV_HIGH,56.3558349609375,5,0.034662971362475536,0.03920219855648055,-0.01568073075818366,0.02489686830551019,0.0466301036999941,-0.01568073075818366,-0.01953234149289418,0.0466301036999941,-0.02077025535648791
CVX,US,2020-10-29,2020-10-30,1,REV_HIGH,53.8752555847168,6,0.0326617963864102,0.05884884170044202,-0.0014388983070769967,0.023740863799137202,0.05884884170044202,-0.0014388983070769967,0.19467623021190494,0.2156834453924923,-0.0014388983070769967
CVX,US,2020-10-29,2020-11-02,2,REV_HIGH+EMA20,55.92948913574219,6,-0.00013859352129852454,0.01995839500234431,-0.031323615279528205,0.10048507732454492,0.1679832744292573,-0.031323615279528205,0.23298648576756387,0.23603570490842452,-0.031323615279528205
CVX,US,2021-04-13,2021-04-14,1,REV_HIGH,83.17706298828125,5,-0.00968640778765062,0.0008633436918255022,-0.0197564472270102,-0.014769426015924902,0.0008633436918255022,-0.0396088206613564,0.00911101848950624,0.015248924100875305,-0.0396088206613564
CVX,US,2021-04-13,2021-04-14,1,REV_HIGH+EMA20,83.17706298828125,5,-0.00968640778765062,0.0008633436918255022,-0.0197564472270102,-0.014769426015924902,0.0008633436918255022,-0.0396088206613564,0.00911101848950624,0.015248924100875305,-0.0396088206613564
CVX,US,2021-07-08,2021-07-09,1,REV_HIGH,84.03372955322266,5,-0.020178821148799875,0.012011032874626792,-0.022581050155178084,-0.05236848004202477,0.012011032874626792,-0.05515507506044659,-0.05006242243725045,0.012011032874626792,-0.09176526776832983
CVX,US,2021-12-20,2021-12-21,1,REV_HIGH,95.58814239501953,6,0.028752098443530105,0.029011895622708117,-0.009179777573035675,0.021477334575046303,0.033515138997394,-0.009179777573035675,0.05845687209178063,0.07248644947204808,-0.009179777573035675
CVX,US,2021-12-20,2021-12-21,1,REV_HIGH+EMA20,95.58814239501953,6,0.028752098443530105,0.029011895622708117,-0.009179777573035675,0.021477334575046303,0.033515138997394,-0.009179777573035675,0.05845687209178063,0.07248644947204808,-0.009179777573035675
CVX,US,2022-01-24,2022-01-25,1,REV_HIGH,109.76039123535156,7,-0.014933151978304138,0.033260361269435545,-0.034089902370117664,0.016592622785478017,0.033260361269435545,-0.034089902370117664,0.029036846591189436,0.05158742241819336,-0.034089902370117664
CVX,US,2022-01-24,2022-01-25,1,PREV5_HIGH,109.76039123535156,7,-0.014933151978304138,0.033260361269435545,-0.034089902370117664,0.016592622785478017,0.033260361269435545,-0.034089902370117664,0.029036846591189436,0.05158742241819336,-0.034089902370117664
CVX,US,2022-01-24,2022-01-25,1,REV_HIGH+EMA20,109.76039123535156,7,-0.014933151978304138,0.033260361269435545,-0.034089902370117664,0.016592622785478017,0.033260361269435545,-0.034089902370117664,0.029036846591189436,0.05158742241819336,-0.034089902370117664
CVX,US,2022-01-24,2022-01-25,1,BOTH_HIGHS,109.76039123535156,7,-0.014933151978304138,0.033260361269435545,-0.034089902370117664,0.016592622785478017,0.033260361269435545,-0.034089902370117664,0.029036846591189436,0.05158742241819336,-0.034089902370117664
CVX,US,2022-01-24,2022-01-25,1,BOTH_HIGHS+EMA20,109.76039123535156,7,-0.014933151978304138,0.033260361269435545,-0.034089902370117664,0.016592622785478017,0.033260361269435545,-0.034089902370117664,0.029036846591189436,0.05158742241819336,-0.034089902370117664
CVX,US,2023-03-16,2023-03-21,3,REV_HIGH,137.8380584716797,6,-0.020400393873594047,0.0047078218268832295,-0.046952375248948464,0.0011300341899549426,0.0055239644964943935,-0.046952375248948464,0.061075978969054034,0.07425786562682912,-0.046952375248948464
CVX,US,2023-05-18,2023-05-19,1,REV_HIGH,135.6231689453125,6,0.013142031007403077,0.021516722279693923,-0.020227689406777105,-0.007408024121869472,0.021516722279693923,-0.020227689406777105,0.0018038522985530658,0.021516722279693923,-0.035366545673389815
CVX,US,2023-05-18,2023-05-23,3,PREV5_HIGH,137.03857421875,6,-0.017660027435819736,0.010965969224489891,-0.021612818058678762,-0.039719473196629274,0.010965969224489891,-0.041377072918340474,0.01899908250342941,0.02142181054257497,-0.04532977891608725
CVX,US,2023-05-18,2023-05-23,3,BOTH_HIGHS,137.03857421875,6,-0.017660027435819736,0.010965969224489891,-0.021612818058678762,-0.039719473196629274,0.010965969224489891,-0.041377072918340474,0.01899908250342941,0.02142181054257497,-0.04532977891608725
CVX,US,2023-05-30,2023-06-02,3,REV_HIGH,136.52308654785156,5,0.022846647607396076,0.02527852345051884,-0.019582791457035675,0.01663899127065438,0.027070195196767788,-0.019582791457035675,0.006399672209457696,0.028862277051055152,-0.019582791457035675
CVX,US,2023-05-30,2023-06-02,3,REV_HIGH+EMA20,136.52308654785156,5,0.022846647607396076,0.02527852345051884,-0.019582791457035675,0.01663899127065438,0.027070195196767788,-0.019582791457035675,0.006399672209457696,0.028862277051055152,-0.019582791457035675
CVX,US,2023-08-08,2023-08-09,1,REV_HIGH,139.66836547851562,6,0.02608554766988025,0.027461759793961926,-0.0015013030364786628,-0.007694050652299889,0.027461759793961926,-0.00869494947939009,0.005758247348007339,0.027461759793961926,-0.01034653507000205
