rule,support,gap_hits,control_hits,gap_coverage,control_coverage,precision_in_sample,lift
shallow_pullback_8 + range_vs_prior_075 + close_gt_ema20,32,11,21,0.3333333333333333,0.21212121212121213,0.34375,1.5714285714285714
trend_stack + ema20_gt_ema50,57,19,38,0.5757575757575758,0.3838383838383838,0.3333333333333333,1.5000000000000002
trend_stack + close_gt_ema20,57,19,38,0.5757575757575758,0.3838383838383838,0.3333333333333333,1.5000000000000002
ema20_gt_ema50 + close_gt_ema20,57,19,38,0.5757575757575758,0.3838383838383838,0.3333333333333333,1.5000000000000002
trend_stack + ema20_gt_ema50 + close_gt_ema20,57,19,38,0.5757575757575758,0.3838383838383838,0.3333333333333333,1.5000000000000002
higher_lows_2of2 + ema20_gt_ema50,30,10,20,0.30303030303030304,0.20202020202020202,0.3333333333333333,1.5
shallow_pullback_8 + atr_expand_110 + close_gt_ema20,27,9,18,0.2727272727272727,0.18181818181818182,0.3333333333333333,1.4999999999999998
higher_lows_2of2 + close_gt_ema20,24,8,16,0.24242424242424243,0.16161616161616163,0.3333333333333333,1.5
shallow_pullback_8 + higher_lows_2of2 + ema20_gt_ema50,24,8,16,0.24242424242424243,0.16161616161616163,0.3333333333333333,1.5
shallow_pullback_8 + volume_expand_110 + trend_stack,21,7,14,0.21212121212121213,0.1414141414141414,0.3333333333333333,1.5
range_vs_prior_075 + higher_lows_2of2 + ema20_gt_ema50,18,6,12,0.18181818181818182,0.12121212121212122,0.3333333333333333,1.5
near_high_5 + range_contract_075 + range_vs_prior_075,15,5,10,0.15151515151515152,0.10101010101010101,0.3333333333333333,1.5
range_contract_075 + higher_lows_2of2 + ema20_gt_ema50,15,5,10,0.15151515151515152,0.10101010101010101,0.3333333333333333,1.5
range_contract_075 + higher_lows_2of2 + close_gt_ema20,15,5,10,0.15151515151515152,0.10101010101010101,0.3333333333333333,1.5
range_vs_prior_075 + trend_stack + higher_lows_2of2,15,5,10,0.15151515151515152,0.10101010101010101,0.3333333333333333,1.5
near_high_5 + range_contract_075 + higher_lows_2of2,12,4,8,0.12121212121212122,0.08080808080808081,0.3333333333333333,1.5
volume_dry_080 + trend_stack,6,2,4,0.06060606060606061,0.04040404040404041,0.3333333333333333,1.5
shallow_pullback_8 + range_contract_075 + volume_dry_080,6,2,4,0.06060606060606061,0.04040404040404041,0.3333333333333333,1.5
shallow_pullback_8 + volume_dry_080 + trend_stack,6,2,4,0.06060606060606061,0.04040404040404041,0.3333333333333333,1.5
range_contract_075 + volume_expand_110 + higher_lows_2of2,6,2,4,0.06060606060606061,0.04040404040404041,0.3333333333333333,1.5
volume_dry_080 + trend_stack + ema20_gt_ema50,6,2,4,0.06060606060606061,0.04040404040404041,0.3333333333333333,1.5
volume_dry_080 + trend_stack + close_gt_ema20,6,2,4,0.06060606060606061,0.04040404040404041,0.3333333333333333,1.5
volume_dry_080 + ema20_gt_ema50 + close_gt_ema20,6,2,4,0.06060606060606061,0.04040404040404041,0.3333333333333333,1.5
range_contract_075 + close_gt_ema20,40,13,27,0.3939393939393939,0.2727272727272727,0.325,1.4444444444444444
shallow_pullback_8 + higher_lows_2of2,25,8,17,0.24242424242424243,0.1717171717171717,0.32,1.411764705882353
volume_expand_110 + trend_stack,22,7,15,0.21212121212121213,0.15151515151515152,0.3181818181818182,1.4
volume_expand_110 + trend_stack + ema20_gt_ema50,22,7,15,0.21212121212121213,0.15151515151515152,0.3181818181818182,1.4
volume_expand_110 + trend_stack + close_gt_ema20,22,7,15,0.21212121212121213,0.15151515151515152,0.3181818181818182,1.4
volume_expand_110 + ema20_gt_ema50 + close_gt_ema20,22,7,15,0.21212121212121213,0.15151515151515152,0.3181818181818182,1.4
shallow_pullback_8 + close_gt_ema20,63,20,43,0.6060606060606061,0.43434343434343436,0.31746031746031744,1.3953488372093024
near_high_5 + volume_expand_110,16,5,11,0.15151515151515152,0.1111111111111111,0.3125,1.3636363636363638
range_contract_075 + higher_lows_2of2,16,5,11,0.15151515151515152,0.1111111111111111,0.3125,1.3636363636363638
near_high_5 + shallow_pullback_8 + volume_expand_110,16,5,11,0.15151515151515152,0.1111111111111111,0.3125,1.3636363636363638
near_high_5 + volume_expand_110 + close_gt_ema20,16,5,11,0.15151515151515152,0.1111111111111111,0.3125,1.3636363636363638
shallow_pullback_8 + range_contract_075 + higher_lows_2of2,16,5,11,0.15151515151515152,0.1111111111111111,0.3125,1.3636363636363638
range_vs_prior_075 + higher_lows_2of2 + close_gt_ema20,16,5,11,0.15151515151515152,0.1111111111111111,0.3125,1.3636363636363638
